original_name,canonical_name,matched,changed,method
txtAmountOfTheInvestment,txtAmountOfTheInvestment,yes,no,exact
txtFullNameEnglish_DUPLICATED_2,txtFullNameEnglish_DUPLICATED_2,no,no,unmatched
chkAccumulatingClass,chkAccumulatingClass,no,no,unmatched
chkQuarterlyDistributionClass,chkQuarterlyDistributionClass,no,no,unmatched
imgPersonSignature_1,imgpersonsignature,yes,yes,strip-number-suffix
txtPersonNationalID_DUPLICATED_1,txtPersonNationalID,yes,yes,strip-duplicated-suffix
txtPersonFullAddress_DUPLICATED_1,txtPersonFullAddress,yes,yes,strip-duplicated-suffix
txtAuthorizedFullName,txtAuthorizedFullName,no,no,unmatched
txtAuthorizedTitlle,txtAuthorizedTitlle,no,no,unmatched
txtInThePresenceOf,txtInThePresenceOf,no,no,unmatched
txtPersonMobile,txtPersonMobile,yes,no,exact
txtFacsimileNo,txtFacsimileNo,no,no,unmatched
txtPersonMail,txtPersonMail,yes,no,exact
imgWitnessSignature,imgWitnessSignature,no,no,unmatched
txtNameOfWitness_DUPLICATED_1,txtNameOfWitness_DUPLICATED_1,no,no,unmatched
txtTaxYearEnd,txtTaxYearEnd,no,no,unmatched
chkTypeOfInvestorIndividual,chkTypeOfInvestorIndividual,no,no,unmatched
chkTypeOfInvestorRetirementAccount,chkTypeOfInvestorRetirementAccount,no,no,unmatched
chkTypeOfInvestorLimitedPartnership,chkTypeOfInvestorLimitedPartnership,no,no,unmatched
chkTypeOfInvestorLimitedLiabilityCompany,chkTypeOfInvestorLimitedLiabilityCompany,no,no,unmatched
chkTypeOfInvestorGeneralPartnership,chkTypeOfInvestorGeneralPartnership,no,no,unmatched
chkTypeOfInvestorCorporation,chkTypeOfInvestorCorporation,no,no,unmatched
chkTypeOfInvestorRevocableTrust,chkTypeOfInvestorRevocableTrust,no,no,unmatched
chkTypeOfInvestorOtherTrust,chkTypeOfInvestorOtherTrust,no,no,unmatched
txtOtherTrustType,txtOtherTrustType,no,no,unmatched
chkTypeOfInvestorOtherOrganization,chkTypeOfInvestorOtherOrganization,no,no,unmatched
txtOtherOrganizationType,txtOtherOrganizationType,no,no,unmatched
chkInvestorNotIsraeliResident,chkInvestorNotIsraeliResident,no,no,unmatched
chkInvestorUSPersonRule902k,chkInvestorUSPersonRule902k,no,no,unmatched
chkInvestorNotUSPerson7701,chkInvestorNotUSPerson7701,no,no,unmatched
chkTransferFromOwnBankYes,chkTransferFromOwnBankYes,no,no,unmatched
chkTransferFromOwnBankNo,chkTransferFromOwnBankNo,no,no,unmatched
txtPersonBankName,txtPersonBankName,yes,no,exact
txtBankCountry,txtBankCountry,no,no,unmatched
txtBankBranchName,txtBankBranchName,no,no,unmatched
txtABA,txtABA,no,no,unmatched
