"worksheet","source_row","source_pair","field_name","field_type","acrobat_field_type","field_group","description","is_duplicate","occurrences"
"שדות","860","1","chkAgentInsurence","checkbox","Check Box","agent_or_planner","באמצעות סוכן הביטוח","False","1"
"שדות","868","2","chkAnInsuranceAgentWillDoingAction","checkbox","Check Box","agent_or_planner","ביצוע פעולות בשם הלקוח","False","1"
"שדות","869","2","chkAnInsuranceAgentWillDoingActionBuySell","checkbox","Check Box","agent_or_planner","ביצוע פעולות בשם הלקוח קנייה ומכירה ני""ע","False","1"
"שדות","740","1","chkAnInsuranceAgentWillReceivInformation","checkbox","Check Box","agent_or_planner","סוכן ביטוח יקבל מידע -צק","False","1"
"שדות","363","2","chkApplicationForAppointmentOfAgent","checkbox","Check Box","agent_or_planner","בקשה למינוי סוכן","False","1"
"שדות","144","1","chkCounselor","checkbox","Check Box","agent_or_planner","יועץ","False","1"
"שדות","188","1","chkPensionCounselor","checkbox","Check Box","agent_or_planner","יועץ פנסיוני","False","1"
"שדות","187","1","chkPensionInsuranceAgent","checkbox","Check Box","agent_or_planner","סוכן ביטוח פנסיוני","False","1"
"שדות","587","1","chkPerformsDetectionAgent","checkbox","Check Box","agent_or_planner","סוכן","False","1"
"שדות","436","2","chkThePayingAgent","checkbox","Check Box","agent_or_planner","הגורם המשלם","False","1"
"שדות","739","1","AnInsuranceAgentWillNotReceiveInformation","other","Review Manually","agent_or_planner","לא יקבל מידע","False","1"
"שדות","31","2","imgAgentSignature","signature_or_image","Signature/Image","agent_or_planner","חתימת סוכן / מתכנן","False","1"
"שדות","529","2","imgAgentSignatureAndStamp","signature_or_image","Signature/Image","agent_or_planner","חתימה וחותמת סוכן / מתכנן","False","1"
"שדות","422","2","imgMarketerFactorSignature","signature_or_image","Signature/Image","agent_or_planner","חתימת גורם משווק","False","1"
"שדות","47","1","imgOptionalPlannerSignature","signature_or_image","Signature/Image","agent_or_planner","","False","1"
"שדות","44","1","imgPlannerSignature","signature_or_image","Signature/Image","agent_or_planner","חתימת מתכנן / סוכן","False","1"
"שדות","33","2","txtAgentAddress","text","Text Field","agent_or_planner","כתובת סוכן / מתכנן","False","1"
"שדות","531","2","txtAgentContactDetails","text","Text Field","agent_or_planner","פרטי התקשרות סוכן","False","1"
"שדות","34","2","txtAgentFax","text","Text Field","agent_or_planner","פקס סוכן / מתכנן","False","1"
"שדות","14","2","txtAgentFirstName","text","Text Field","agent_or_planner","שם פרטי סוכן","False","1"
"שדות","582","2","txtAgentID","text","Text Field","agent_or_planner","ת.ז סוכן / מתכנן","False","1"
"שדות","15","2","txtAgentLastName","text","Text Field","agent_or_planner","שם משפחה סוכן","False","1"
"שדות","30","2","txtAgentMail","text","Text Field","agent_or_planner","מייל סוכן","False","1"
"שדות","159","1","txtAgentMobile","text","Text Field","agent_or_planner","נייד סוכן / מתכנן","False","1"
"שדות","13","2","txtAgentName","text","Text Field","agent_or_planner","שם סוכן","False","1"
"שדות","581","2","txtAgentNameAndNumber","text","Text Field","agent_or_planner","שם ומספר סוכן / מתכנן","False","1"
"שדות","580","2","txtAgentNumber","text","Text Field","agent_or_planner","מספר סוכן-לא פעיל","False","1"
"שדות","35","2","txtAgentNumberInAgency","text","Text Field","agent_or_planner","מספר סוכן בחברה","False","1"
"שדות","5","1","txtAgentPhone","text","Text Field","agent_or_planner","טלפון סוכן","False","1"
"שדות","530","2","txtAgentSignatureAndStampDate","text","Text Field","agent_or_planner","תאריך חתימה וחותמת סוכן / מתכנן","False","1"
"שדות","32","2","txtAgentSignatureDate","text","Text Field","agent_or_planner","תאריך חתימה סוכן / מתכנן","False","1"
"שדות","162","1","txtAgentType","text","Text Field","agent_or_planner","סוג סוכן","False","1"
"שדות","738","1","txtAnInsuranceAgentWillReceivInformation","text","Text Field","agent_or_planner","סוכן ביטוח יקבל מידע","False","1"
"שדות","887","2","txtInsuranceAgentMobile","text","Text Field","agent_or_planner","נייד סוכן ביטוח","False","1"
"שדות","885","2","txtInsuranceAgentName","text","Text Field","agent_or_planner","שם מלא סוכן ביטוח","False","1"
"שדות","886","2","txtInsuranceAgentNamePhone","text","Text Field","agent_or_planner","טלפון סוכן ביטוח","False","1"
"שדות","160","1","txtNameReseller","text","Text Field","agent_or_planner","שם המשווק","False","1"
"שדות","48","1","txtOptionalPlannerSignatureDate","text","Text Field","agent_or_planner","","False","1"
"שדות","161","1","txtPhoneReseller","text","Text Field","agent_or_planner","מספר משווק","False","1"
"שדות","132","1","txtPlannerCity","text","Text Field","agent_or_planner","עיר מתכנן / סוכן","False","1"
"שדות","128","1","txtPlannerFirstName","text","Text Field","agent_or_planner","שם פרטי מתכנן / סוכן","False","1"
"שדות","135","1","txtPlannerFullAddress","text","Text Field","agent_or_planner","כתובת מלאה של המתכנן / סוכן","False","1"
"שדות","130","1","txtPlannerFullName","text","Text Field","agent_or_planner","שם מלא של התכנן","False","1"
"שדות","129","1","txtPlannerLastName","text","Text Field","agent_or_planner","שם משפחה מתכנן / סוכן","False","1"
"שדות","131","1","txtPlannerNationalID","text","Text Field","agent_or_planner","ת.ז מתכנן / סוכן","False","1"
"שדות","133","1","txtPlannerNumber","text","Text Field","agent_or_planner","מספר בעל הרישיון","False","1"
"שדות","45","1","txtPlannerSignatureDate","text","Text Field","agent_or_planner","תאריך חתימת מתכנן / סוכן","False","1"
"שדות","134","1","txtPlannerStreet","text","Text Field","agent_or_planner","רחוב מתכנן / סוכן","False","1"
"שדות","143","1","txtPlannerType","text","Text Field","agent_or_planner","סוג סוכן / סוכנות","False","1"
"שדות","423","2","txtResellerFactorSignatureDate","text","Text Field","agent_or_planner","","False","1"
"שדות","731","2","chkAccountCredit","checkbox","Check Box","banking_and_payment","זיכוי חשבון","False","1"
"שדות","367","2","chkAccountManagementByApot","checkbox","Check Box","banking_and_payment","ניהול החשבון בידי מקנה מתנה או אפוטרופוסים חוקיים","False","1"
"שדות","373","2","chkAccountManagementByGuardian","checkbox","Check Box","banking_and_payment","ניהול החשבון בידי אפוטרופוס","False","1"
"שדות","366","2","chkAccountManagementByMeGivesAGift","checkbox","Check Box","banking_and_payment","ניהול החשבון בידי מקנה מתנה","False","1"
"שדות","759","1","chkAnAccountOfMyName","checkbox","Check Box","banking_and_payment","חשבון על שמי","False","1"
"שדות","741","2","chkAppointedBetterAccount","checkbox","Check Box","banking_and_payment","מיניתי מוטב בחשבון","False","1"
"שדות","821","2","chkAttractionDirectDebit","checkbox","Check Box","banking_and_payment","משיכה באמצעות הוראת קבע","False","1"
"שדות","434","2","chkBankBranch","checkbox","Check Box","banking_and_payment","סניף בנק","False","1"
"שדות","876","1","chkBankCustomer_No","checkbox","Check Box","banking_and_payment","לא לקוח הבנק","False","1"
"שדות","875","1","chkBankCustomer_Yes","checkbox","Check Box","banking_and_payment","לקוח הבנק","False","1"
"שדות","910","1","chkBankDisclaimer","checkbox","Check Box","banking_and_payment","הצהרת הבנק","False","1"
"שדות","479","1","chkBankTransfer","checkbox","Check Box","banking_and_payment","העברה בנקאית","False","1"
"שדות","885","1","chkBillingAccountMatah","checkbox","Check Box","banking_and_payment","לחייב חשבון במט""ח","False","1"
"שדות","911","1","chkBillingAccountMati","checkbox","Check Box","banking_and_payment","לחייב חשבון במט""י","False","1"
"שדות","884","1","chkBillingAccountShekel","checkbox","Check Box","banking_and_payment","לחייב חשבון בש""ח","False","1"
"שדות","79","2","chkBillingAmountCeiling","checkbox","Check Box","banking_and_payment","תקרת סכום חיוב - סימון","False","1"
"שדות","188","2","chkBillingfrequency-Bimonthly","checkbox","Check Box","banking_and_payment","תדירות חיוב - דו חודשי","False","1"
"שדות","186","2","chkBillingFrequency-Monthly","checkbox","Check Box","banking_and_payment","תדירות חיוב - רבעוני","True","2"
"שדות","187","2","chkBillingFrequency-Monthly","checkbox","Check Box","banking_and_payment","תדירות חיוב - חודשי","True","2"
"שדות","887","1","chkBillingMutavAccount","checkbox","Check Box","banking_and_payment","לחייב את חשבון המוטב","False","1"
"שדות","886","1","chkBillingPersonAccount","checkbox","Check Box","banking_and_payment","לחייב את חשבוני","False","1"
"שדות","927","2","chkBrokerAccount","checkbox","Check Box","banking_and_payment","חשבון המעקל","False","1"
"שדות","929","2","chkBrokerAccountBankNumber","checkbox","Check Box","banking_and_payment","מספר בנק של המעקל","False","1"
"שדות","931","2","chkBrokerAccountNumber","checkbox","Check Box","banking_and_payment","מספר חשבון של המעקל","False","1"
"שדות","930","2","chkBrokerBankBranch","checkbox","Check Box","banking_and_payment","מספר סניף של המעקל","False","1"
"שדות","851","1","chkCollectionCredit","checkbox","Check Box","banking_and_payment","גבייה שוטפת באמצעות כרטיס אשראי","False","1"
"שדות","850","1","chkCollectionDirectDebit","checkbox","Check Box","banking_and_payment","גבייה שוטפת באמצעות הוראת קבע","False","1"
"שדות","204","2","chkCreditCardtype_","checkbox","Check Box","banking_and_payment","סוג כרטיס אשראי","False","1"
"שדות","475","2","chkCreditTransaction","checkbox","Check Box","banking_and_payment","עסקת אשראי","False","1"
"שדות","480","2","chkDirectDebit","checkbox","Check Box","banking_and_payment","הוראת קבע","False","1"
"שדות","677","1","chkDirectingTheAccountActivity","checkbox","Check Box","banking_and_payment","","False","1"
"שדות","69","2","chkDocumentAccountBillingInstruction","checkbox","Check Box","banking_and_payment","מסמך על טופס הרואה לחיוב בחשבון","False","1"
"שדות","398","1","chkGivesTheMinorTheFundsThatWillAccrueInTheAccount","checkbox","Check Box","banking_and_payment","מקנה לקטין את הכספים שיצטברו בחשבון","False","1"
"שדות","472","1","chkHafkdaShotefetCredit","checkbox","Check Box","banking_and_payment","הפקדה שוטפת באמצעות כרטיס אשראי","False","1"
"שדות","471","1","chkHafkdaShotefetDirectDebit","checkbox","Check Box","banking_and_payment","הפקדה שוטפת באמצעות הוראת קבע","False","1"
"שדות","777","2","chkHazharaAccountSeniorityAbove3Hishtalmut","checkbox","Check Box","banking_and_payment","וותק החשבון מעל 3 שנים לצרכי השתלמות","False","1"
"שדות","776","2","chkHazharaAccountSeniorityAbove3RetirementAge","checkbox","Check Box","banking_and_payment","וותק החשבון מעל 3 שנים והגעה לגיל פרישה","False","1"
"שדות","775","2","chkHazharaAccountSeniorityAbove6","checkbox","Check Box","banking_and_payment","וותק החשבון מעל 6 שנים","False","1"
"שדות","742","2","chkIDidNotAppointBetterAccount","checkbox","Check Box","banking_and_payment","לא מיניתי מוטב בחשבון","False","1"
"שדות","928","2","chkLoyalAccount","checkbox","Check Box","banking_and_payment","חשבון הנאמן בפשיטת רגל","False","1"
"שדות","460","2","chkManagingAnAccountInTheHandsOfParent","checkbox","Check Box","banking_and_payment","ניהוול חשבון בידי הורה","False","1"
"שדות","686","1","chkNewDirectDebit","checkbox","Check Box","banking_and_payment","הוראת קבע חדשה","False","1"
"שדות","922","1","chkNumberOfCreditCards","checkbox","Check Box","banking_and_payment","מספר כרטיסי אשראי(כמות)","False","1"
"שדות","592","2","chkOnlyAccount","checkbox","Check Box","banking_and_payment","רק החשבון הזה","False","1"
"שדות","593","2","chkPartOfAccount","checkbox","Check Box","banking_and_payment","חלק מהחשבונות","False","1"
"שדות","770","1","chkPurposeOfopeningAnAccount","checkbox","Check Box","banking_and_payment","מטרת פתיחת חשבון","False","1"
"שדות","879","1","chkSwift","checkbox","Check Box","banking_and_payment","סוויפט","False","1"
"שדות","413","1","chkTashlumDirectDebit","checkbox","Check Box","banking_and_payment","הוראת קבע","True","2"
"שדות","415","1","chkTashlumDirectDebit","checkbox","Check Box","banking_and_payment","העברה בנקאות","True","2"
"שדות","587","2","chkThereIsAPowerOfAttorneyInTheAccount","checkbox","Check Box","banking_and_payment","קיים מיופה כח בחשבון","False","1"
"שדות","588","2","chkThereIsNotPowerOfAttorneyInTheAccount","checkbox","Check Box","banking_and_payment","לא קיים מיופה כח בחשבון","False","1"
"שדות","471","2","chkTransferFromBankAccountAbroad","checkbox","Check Box","banking_and_payment","העברה מחשבון בנק בחו""ל","False","1"
"שדות","695","2","chkTransferTheFundsToTheAccount","checkbox","Check Box","banking_and_payment","","False","1"
"שדות","694","2","chkTransfertheFundsToThebank","checkbox","Check Box","banking_and_payment","","False","1"
"שדות","267","2","imgBankSignature","signature_or_image","Signature/Image","banking_and_payment","חתימת הבנק","False","1"
"שדות","60","2","imgBankSignatureAndStamp","signature_or_image","Signature/Image","banking_and_payment","חתימה וחותמת בנק","False","1"
"שדות","585","1","imgHeshbonBank","signature_or_image","Signature/Image","banking_and_payment","חתימה בעלי החשבון","False","1"
"שדות","377","2","imgSigntureOfAccountOwner","signature_or_image","Signature/Image","banking_and_payment","חתימת בעל החשבון","False","1"
"שדות","883","1","txtAccountGroup","text","Text Field","banking_and_payment","קבוצת חשבון","False","1"
"שדות","281","2","txtAccountName","text","Text Field","banking_and_payment","שם חשבון","False","1"
"שדות","407","1","txtAccountOwnerApartmentPostalCode","text","Text Field","banking_and_payment","מיקוד בעל החשבון","False","1"
"שדות","408","1","txtAccountOwnerHouseNumber","text","Text Field","banking_and_payment","מספר בית בעל החשבון","False","1"
"שדות","483","2","txtAccountPrefix","text","Text Field","banking_and_payment","קידומת חשבון","False","1"
"שדות","585","2","txtAccountSignatureDate","text","Text Field","banking_and_payment","תאריך חתימה בעלי החשבון","False","1"
"שדות","232","1","txtAccountYear","text","Text Field","banking_and_payment","שנת קופה","False","1"
"שדות","359","1","txtBankAddress","text","Text Field","banking_and_payment","כתובת הבנק","False","1"
"שדות","369","2","txtBankApartmentPoBox","text","Text Field","banking_and_payment","ת.ד בנק","False","1"
"שדות","361","1","txtBankCity","text","Text Field","banking_and_payment","עיר- בנק","False","1"
"שדות","360","1","txtBankHouseNumber","text","Text Field","banking_and_payment","מספר בית- בנק","False","1"
"שדות","57","2","txtBankNameAndBranch","text","Text Field","banking_and_payment","שם בנק וסניף","False","1"
