field_name,prefix
chkAmlaType_EqualAmla,chk
chkAmlaType_OneTimePayment,chk
chkAnnounceNoFundsWillBeDeposited,chk
chkBeneficiariesInEqualParts,chk
chkBeneficiariesOfTheirRelativeShare,chk
chkChangingInvestementPath_,chk
chkCitizenUSA_no,chk
chkCitizenUSA_no_1,chk
chkCitizenUSA_no_2,chk
chkCitizenUSA_yes,chk
chkCitizenUSA_yes_1,chk
chkCitizenUSA_yes_2,chk
chkClassDolarMehalek,chk
chkClassDolarMehalekAndZover,chk
chkClassDolarZover,chk
chkClassDollarMehalek,chk
chkClassDollarMehalekAndZover,chk
chkClassDollarZover,chk
chkClassMehalek,chk
chkClassMehalekAndZover,chk
chkClassOrTikun190_190,chk
chkClassOrTikun190_e,chk
chkClassOrTikun190_i,chk
chkClassShekelMehalek,chk
chkClassShekelMehalekAndZover,chk
chkClassShekelZover,chk
chkClassZover,chk
chkConfirmingInformation,chk
chkCorporatePolicyHolder,chk
chkCRS_no,chk
chkCRS_yes,chk
chkCurrencyCode_,chk
chkDefaultMutavim,chk
chkDefaultMutavimNo,chk
chkDefaultMutavimYes,chk
chkDepositAmount,chk
chkDeterminingRateOfRewards,chk
chkDeterminingRateOfRewardsOther,chk
chkDocumentAccountBillingInstruction,chk
chkDocumentAppointmentOfGuardian,chk
chkDocumentIndependentAssociateStatement,chk
chkDocumentMoneyTransferRequest,chk
chkDocumentOneTimeDepositInstruction,chk
chkDocumentPowerOfAttorney,chk
chkDocumentReasoning,chk
chkDocumentRegisteredIndependentVAT,chk
chkExpiryDate__1,chk
chkGemelEshitLepizuimKupatBituah,chk
chkGemelEshitLepizuimLoKupatBituah,chk
chkGemelTamlugimKupatBituah,chk
chkGemelTamlugimLoKupatBituah,chk
chkHafkadaHadPeami,chk
chkHafkadaHadPeamiAndShotef,chk
chkHafkadaHadPeamiAndShotef_2,chk
chkHafkadaHadPeamichk_2,chk
chkHafkadaHadPeamiWithoutShotef,chk
chkHafkadaShotef,chk
chkHafkadaShotefChk_2,chk
chkHafkadaShotefWithoutHadPeami,chk
chkHafkdaShotefet_H,chk
chkHafkdaShotefet_M,chk
chkHafkdaShotefet_Q,chk
chkHafkdaShotefet_Y,chk
chkHolderOfSinglePolicy,chk
chkInstitutionCode_Gemel,chk
chkInstitutionCode_GemelHashkaa,chk
chkInstitutionCode_GemelHisachonKolYeled,chk
chkInstitutionCode_Hishtalmut,chk
chkInstitutionCode_Pensya,chk
chkInstitutionCode_PensyaKlalit,chk
chkInstitutionCode_PensyaMakifa,chk
chkIsCorporation,chk
chkKerenHadashaLoZakait,chk
chkKerenHadashaZakait,chk
chkKerenHistalmut,chk
chkKerenHistalmutMorim,chk
chkKupatGemelEshitDmeyMahala,chk
chkKupatGemelHisachonKolYeled,chk
chkKupatGemelLahisahon,chk
chkKupatGemelLakitzvaKupatGemelBituah,chk
chkKupatGemelMerkazitDmeyMahala,chk
chkKupatGemelMerkazitLapizuim,chk
chkKupaTypeGemel,chk
chkKupaTypeGemelHashkaa,chk
chkKupaTypeGemelHisachonKolYeled,chk
chkKupaTypeIshtalmut,chk
chkKupaTypePensya,chk
chkKupaTypePensyaKlalit,chk
chkKupaTypePensyaMakifa,chk
chkMasluBituah_1,chk
chkMaslul_,chk
